# Region type : patch inlet
# Faces  :     292
# Area   :     1.5721138e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.01965e-07    	-4.7265402e-04
7.27512e-07    	-5.0950405e-04
1.05663e-06    	-5.1732397e-04
1.38681e-06    	-5.1662538e-04
1.71576e-06    	-5.0193122e-04
2.04805e-06    	-4.8951942e-04
2.37928e-06    	-4.7715167e-04
2.71099e-06    	-4.7168459e-04
3.04407e-06    	-4.6953066e-04
3.37601e-06    	-4.6504493e-04
3.70902e-06    	-4.6496129e-04
4.04262e-06    	-4.6293106e-04
4.375e-06      	-4.6246563e-04
4.70918e-06    	-4.6429031e-04
5.0423e-06     	-4.6288369e-04
5.37532e-06    	-4.6679041e-04
5.70948e-06    	-4.7082084e-04
6.04158e-06    	-4.7480959e-04
6.37547e-06    	-4.8438793e-04
6.7081e-06     	-4.9133306e-04
7.04004e-06    	-5.0284094e-04
7.37319e-06    	-5.1535598e-04
7.70365e-06    	-5.2722108e-04
8.03561e-06    	-5.4416964e-04
8.36612e-06    	-5.5793736e-04
8.69569e-06    	-5.7517800e-04
9.02641e-06    	-5.9257085e-04
9.35429e-06    	-6.0757674e-04
9.68346e-06    	-6.2636826e-04
1.00115e-05    	-6.4131028e-04
1.03379e-05    	-6.5773706e-04
1.06658e-05    	-6.7402373e-04
1.0991e-05     	-6.8701943e-04
1.13169e-05    	-7.0293011e-04
1.16423e-05    	-7.1514475e-04
1.19661e-05    	-7.2773482e-04
1.22911e-05    	-7.4036980e-04
1.26142e-05    	-7.4983124e-04
1.29377e-05    	-7.6145300e-04
1.32608e-05    	-7.6982607e-04
1.3583e-05     	-7.7909283e-04
1.3906e-05     	-7.8750200e-04
1.42279e-05    	-7.9487467e-04
1.45503e-05    	-8.0282906e-04
1.48722e-05    	-8.0979460e-04
1.5194e-05     	-8.1700180e-04
1.55155e-05    	-8.2398552e-04
1.58368e-05    	-8.3096254e-04
1.61578e-05    	-8.3797421e-04
1.64787e-05    	-8.4503633e-04
1.67993e-05    	-8.5217120e-04
1.71197e-05    	-8.5939807e-04
1.74399e-05    	-8.6671639e-04
1.77599e-05    	-8.7410460e-04
1.80798e-05    	-8.8152912e-04
1.83994e-05    	-8.8895123e-04
1.87189e-05    	-8.9634745e-04
1.90381e-05    	-9.0367410e-04
1.93572e-05    	-9.1090262e-04
1.9676e-05     	-9.1802182e-04
1.99946e-05    	-9.2503254e-04
2.0313e-05     	-9.3194393e-04
2.06311e-05    	-9.3878397e-04
2.09489e-05    	-9.4554511e-04
2.12665e-05    	-9.5229109e-04
2.15838e-05    	-9.5904829e-04
2.19008e-05    	-9.6585761e-04
2.22176e-05    	-9.7276055e-04
2.2534e-05     	-9.7976817e-04
2.28501e-05    	-9.8690252e-04
2.31659e-05    	-9.9416250e-04
2.34813e-05    	-1.0015534e-03
2.37964e-05    	-1.0090749e-03
2.41112e-05    	-1.0167072e-03
2.44256e-05    	-1.0244187e-03
2.47398e-05    	-1.0321694e-03
2.50535e-05    	-1.0399240e-03
2.5367e-05     	-1.0476536e-03
2.56801e-05    	-1.0553142e-03
2.5993e-05     	-1.0628694e-03
2.63055e-05    	-1.0702996e-03
2.66177e-05    	-1.0775721e-03
2.69297e-05    	-1.0846597e-03
2.72414e-05    	-1.0915561e-03
2.75529e-05    	-1.0982433e-03
2.78641e-05    	-1.1047155e-03
2.81751e-05    	-1.1109712e-03
2.84858e-05    	-1.1170066e-03
2.87963e-05    	-1.1228345e-03
2.91067e-05    	-1.1284396e-03
2.94168e-05    	-1.1338310e-03
2.97267e-05    	-1.1390250e-03
3.00365e-05    	-1.1440584e-03
3.0346e-05     	-1.1489495e-03
3.06554e-05    	-1.1537203e-03
3.09646e-05    	-1.1584007e-03
3.12736e-05    	-1.1630093e-03
3.15825e-05    	-1.1675537e-03
3.18911e-05    	-1.1720396e-03
3.21996e-05    	-1.1764690e-03
3.2508e-05     	-1.1808382e-03
3.28161e-05    	-1.1851231e-03
3.31241e-05    	-1.1893217e-03
3.34319e-05    	-1.1933990e-03
3.37396e-05    	-1.1972994e-03
3.40471e-05    	-1.2009960e-03
3.43545e-05    	-1.2044414e-03
3.46617e-05    	-1.2075996e-03
3.49689e-05    	-1.2104219e-03
3.52759e-05    	-1.2128568e-03
3.55828e-05    	-1.2148530e-03
3.58896e-05    	-1.2163834e-03
3.61963e-05    	-1.2174359e-03
3.6503e-05     	-1.2179911e-03
3.68097e-05    	-1.2180400e-03
3.71163e-05    	-1.2176072e-03
3.7423e-05     	-1.2167196e-03
3.77297e-05    	-1.2154136e-03
3.80364e-05    	-1.2137377e-03
3.83432e-05    	-1.2117496e-03
3.865e-05      	-1.2095161e-03
3.89569e-05    	-1.2070948e-03
3.92639e-05    	-1.2045461e-03
3.9571e-05     	-1.2019264e-03
3.98783e-05    	-1.1992962e-03
4.01856e-05    	-1.1967160e-03
4.04931e-05    	-1.1942343e-03
4.08006e-05    	-1.1918934e-03
4.11083e-05    	-1.1897249e-03
4.1416e-05     	-1.1877546e-03
4.17238e-05    	-1.1860007e-03
4.20317e-05    	-1.1844778e-03
4.23396e-05    	-1.1831862e-03
4.26476e-05    	-1.1821200e-03
4.29556e-05    	-1.1812669e-03
4.32637e-05    	-1.1806159e-03
4.35718e-05    	-1.1801482e-03
4.38799e-05    	-1.1798396e-03
4.41879e-05    	-1.1796701e-03
4.4496e-05     	-1.1796243e-03
4.48041e-05    	-1.1796890e-03
4.51121e-05    	-1.1798543e-03
4.54201e-05    	-1.1801113e-03
4.57281e-05    	-1.1804543e-03
4.60361e-05    	-1.1808797e-03
4.6344e-05     	-1.1813866e-03
4.66519e-05    	-1.1819767e-03
4.69597e-05    	-1.1826537e-03
4.72674e-05    	-1.1834226e-03
4.75751e-05    	-1.1842878e-03
4.78828e-05    	-1.1852537e-03
4.81903e-05    	-1.1863240e-03
4.84978e-05    	-1.1875053e-03
4.88053e-05    	-1.1888027e-03
4.91126e-05    	-1.1902180e-03
4.94199e-05    	-1.1917530e-03
4.9727e-05     	-1.1934052e-03
5.00341e-05    	-1.1951670e-03
5.03411e-05    	-1.1970312e-03
5.0648e-05     	-1.1989892e-03
5.09548e-05    	-1.2010308e-03
5.12615e-05    	-1.2031433e-03
5.15681e-05    	-1.2053143e-03
5.18746e-05    	-1.2075320e-03
5.2181e-05     	-1.2097827e-03
5.24874e-05    	-1.2120515e-03
5.27936e-05    	-1.2143235e-03
5.30998e-05    	-1.2165841e-03
5.34059e-05    	-1.2188192e-03
5.37119e-05    	-1.2210163e-03
5.40178e-05    	-1.2231653e-03
5.43236e-05    	-1.2252589e-03
5.46294e-05    	-1.2272944e-03
5.4935e-05     	-1.2292588e-03
5.52407e-05    	-1.2311613e-03
5.55462e-05    	-1.2330012e-03
5.58517e-05    	-1.2347811e-03
5.61571e-05    	-1.2365064e-03
5.64625e-05    	-1.2381838e-03
5.67678e-05    	-1.2398209e-03
5.7073e-05     	-1.2414260e-03
5.73782e-05    	-1.2430088e-03
5.76833e-05    	-1.2445796e-03
5.79884e-05    	-1.2461489e-03
5.82934e-05    	-1.2477256e-03
5.85983e-05    	-1.2493174e-03
5.89032e-05    	-1.2509304e-03
5.9208e-05     	-1.2525699e-03
5.95127e-05    	-1.2542395e-03
5.98174e-05    	-1.2559410e-03
6.01219e-05    	-1.2576745e-03
6.04265e-05    	-1.2594379e-03
6.07309e-05    	-1.2612265e-03
6.10353e-05    	-1.2630347e-03
6.13396e-05    	-1.2648553e-03
6.16438e-05    	-1.2666794e-03
6.1948e-05     	-1.2684978e-03
6.22521e-05    	-1.2703008e-03
6.25561e-05    	-1.2720756e-03
6.28601e-05    	-1.2738095e-03
6.3164e-05     	-1.2754918e-03
6.34678e-05    	-1.2771134e-03
6.37716e-05    	-1.2786586e-03
6.40753e-05    	-1.2801178e-03
6.4379e-05     	-1.2814812e-03
6.46826e-05    	-1.2827343e-03
6.49862e-05    	-1.2838640e-03
6.52898e-05    	-1.2848608e-03
6.55933e-05    	-1.2857194e-03
6.58968e-05    	-1.2864309e-03
6.62003e-05    	-1.2869924e-03
6.65037e-05    	-1.2873968e-03
6.68072e-05    	-1.2876397e-03
6.71107e-05    	-1.2877186e-03
6.74142e-05    	-1.2876273e-03
6.77177e-05    	-1.2873665e-03
6.80212e-05    	-1.2869388e-03
6.83247e-05    	-1.2863484e-03
6.86283e-05    	-1.2856024e-03
6.89319e-05    	-1.2847103e-03
6.92356e-05    	-1.2836820e-03
6.95393e-05    	-1.2825250e-03
6.9843e-05     	-1.2812535e-03
7.01468e-05    	-1.2798803e-03
7.04506e-05    	-1.2784198e-03
7.07545e-05    	-1.2768893e-03
7.10585e-05    	-1.2753068e-03
7.13625e-05    	-1.2736913e-03
7.16666e-05    	-1.2720615e-03
7.19707e-05    	-1.2704371e-03
7.22749e-05    	-1.2688369e-03
7.25791e-05    	-1.2672814e-03
7.28834e-05    	-1.2657882e-03
7.31878e-05    	-1.2643725e-03
7.34921e-05    	-1.2630487e-03
7.37966e-05    	-1.2618327e-03
7.4101e-05     	-1.2607403e-03
7.44055e-05    	-1.2597831e-03
7.471e-05      	-1.2589679e-03
7.50145e-05    	-1.2583036e-03
7.5319e-05     	-1.2577927e-03
7.56236e-05    	-1.2574394e-03
7.59281e-05    	-1.2572536e-03
7.62326e-05    	-1.2572341e-03
7.65371e-05    	-1.2573736e-03
7.68416e-05    	-1.2576696e-03
7.71461e-05    	-1.2581183e-03
7.74506e-05    	-1.2587122e-03
7.7755e-05     	-1.2594422e-03
7.80594e-05    	-1.2602991e-03
7.83638e-05    	-1.2612715e-03
7.86681e-05    	-1.2623486e-03
7.89724e-05    	-1.2635170e-03
7.92766e-05    	-1.2647600e-03
7.95808e-05    	-1.2660616e-03
7.9885e-05     	-1.2674066e-03
8.01891e-05    	-1.2687821e-03
8.04932e-05    	-1.2701755e-03
8.07973e-05    	-1.2715734e-03
8.11012e-05    	-1.2729628e-03
8.14052e-05    	-1.2743323e-03
8.17091e-05    	-1.2756729e-03
8.2013e-05     	-1.2769754e-03
8.23168e-05    	-1.2782323e-03
8.26206e-05    	-1.2794379e-03
8.29243e-05    	-1.2805862e-03
8.32281e-05    	-1.2816729e-03
8.35317e-05    	-1.2826963e-03
8.38354e-05    	-1.2836566e-03
8.4139e-05     	-1.2845557e-03
8.44426e-05    	-1.2853963e-03
8.47462e-05    	-1.2861817e-03
8.50497e-05    	-1.2869143e-03
8.53532e-05    	-1.2875962e-03
8.56567e-05    	-1.2882316e-03
8.59601e-05    	-1.2888249e-03
8.62635e-05    	-1.2893808e-03
8.65669e-05    	-1.2899029e-03
8.68703e-05    	-1.2903946e-03
8.71737e-05    	-1.2908596e-03
8.7477e-05     	-1.2913012e-03
8.77803e-05    	-1.2917234e-03
8.80836e-05    	-1.2921296e-03
8.83869e-05    	-1.2925235e-03
8.86901e-05    	-1.2929085e-03
8.89933e-05    	-1.2932878e-03
8.92965e-05    	-1.2936648e-03
8.95997e-05    	-1.2940429e-03
8.99029e-05    	-1.2944259e-03
9.0206e-05     	-1.2948169e-03
9.05091e-05    	-1.2952191e-03
9.08122e-05    	-1.2956360e-03
9.11153e-05    	-1.2960717e-03
9.14183e-05    	-1.2965308e-03
9.17213e-05    	-1.2970167e-03
9.20243e-05    	-1.2975322e-03
9.23273e-05    	-1.2980791e-03
9.26303e-05    	-1.2986589e-03
9.29332e-05    	-1.2992733e-03
9.32361e-05    	-1.2999228e-03
9.3539e-05     	-1.3006077e-03
9.38418e-05    	-1.3013276e-03
9.41446e-05    	-1.3020819e-03
9.44474e-05    	-1.3028687e-03
9.47502e-05    	-1.3036856e-03
9.5053e-05     	-1.3045290e-03
9.53557e-05    	-1.3053947e-03
9.56584e-05    	-1.3062779e-03
9.5961e-05     	-1.3071728e-03
9.62637e-05    	-1.3080732e-03
9.65663e-05    	-1.3089721e-03
9.68688e-05    	-1.3098622e-03
9.71714e-05    	-1.3107351e-03
9.74739e-05    	-1.3115822e-03
9.77764e-05    	-1.3123949e-03
9.80789e-05    	-1.3131646e-03
9.83814e-05    	-1.3138849e-03
9.86839e-05    	-1.3145482e-03
9.89863e-05    	-1.3151477e-03
9.92887e-05    	-1.3156773e-03
9.95912e-05    	-1.3161329e-03
9.98936e-05    	-1.3165101e-03
0.000100196    	-1.3168062e-03
0.000100498    	-1.3170179e-03
0.000100801    	-1.3171441e-03
0.000101103    	-1.3171850e-03
0.000101406    	-1.3171426e-03
0.000101708    	-1.3170204e-03
0.000102011    	-1.3168213e-03
0.000102313    	-1.3165493e-03
0.000102616    	-1.3162092e-03
0.000102918    	-1.3158076e-03
0.000103221    	-1.3153524e-03
0.000103523    	-1.3148514e-03
0.000103826    	-1.3143126e-03
0.000104128    	-1.3137448e-03
0.000104431    	-1.3131577e-03
0.000104734    	-1.3125609e-03
0.000105036    	-1.3119640e-03
0.000105339    	-1.3113760e-03
