# Region type : patch cOutlet
# Faces  :     1172
# Area   :     4.4928320e-05
# Time         	sum(phi)
0              	0.0000000e+00
5.62517e-07    	6.5969328e-04
1.00486e-06    	8.0427249e-04
1.44172e-06    	8.2646980e-04
1.87835e-06    	8.2423471e-04
2.31864e-06    	8.2771539e-04
2.77704e-06    	8.3853734e-04
3.26432e-06    	8.4935505e-04
3.76282e-06    	8.5401527e-04
4.26106e-06    	8.5098315e-04
4.76173e-06    	8.4026127e-04
5.26405e-06    	8.2303386e-04
5.76286e-06    	8.0208325e-04
6.26046e-06    	7.8194102e-04
6.76084e-06    	7.6302186e-04
7.26547e-06    	7.4533104e-04
7.76906e-06    	7.2914350e-04
8.26759e-06    	7.1512858e-04
8.76244e-06    	7.0342269e-04
9.25495e-06    	6.9404021e-04
9.74585e-06    	6.8677033e-04
1.02355e-05    	6.8117755e-04
1.07232e-05    	6.7675579e-04
1.12085e-05    	6.7292816e-04
1.16911e-05    	6.6936060e-04
1.21704e-05    	6.6599747e-04
1.26454e-05    	6.6279572e-04
1.31158e-05    	6.5967483e-04
1.35844e-05    	6.5668210e-04
1.4053e-05     	6.5397637e-04
1.4523e-05     	6.5172624e-04
1.49951e-05    	6.5009453e-04
1.54694e-05    	6.4929813e-04
1.59461e-05    	6.4951930e-04
1.6426e-05     	6.5088745e-04
1.69088e-05    	6.5349284e-04
1.73938e-05    	6.5731406e-04
1.78806e-05    	6.6215701e-04
1.83691e-05    	6.6762814e-04
1.8859e-05     	6.7329130e-04
1.93503e-05    	6.7878671e-04
1.98425e-05    	6.8374870e-04
2.03343e-05    	6.8778539e-04
2.08255e-05    	6.9059381e-04
2.13163e-05    	6.9202925e-04
2.18069e-05    	6.9209726e-04
2.22975e-05    	6.9081253e-04
2.27878e-05    	6.8815464e-04
2.32776e-05    	6.8417523e-04
2.3767e-05     	6.7908706e-04
2.42553e-05    	6.7310360e-04
2.47418e-05    	6.6640741e-04
2.52258e-05    	6.5927611e-04
2.57078e-05    	6.5197169e-04
2.61882e-05    	6.4476786e-04
2.66679e-05    	6.3786127e-04
2.7148e-05     	6.3136535e-04
2.76289e-05    	6.2531860e-04
2.81103e-05    	6.1974068e-04
2.85919e-05    	6.1464166e-04
2.90744e-05    	6.0999851e-04
2.95579e-05    	6.0572194e-04
3.00424e-05    	6.0169674e-04
3.05275e-05    	5.9779971e-04
3.1013e-05     	5.9390120e-04
3.1499e-05     	5.8987078e-04
3.19853e-05    	5.8559047e-04
3.24722e-05    	5.8094455e-04
3.29594e-05    	5.7580822e-04
3.34468e-05    	5.7001090e-04
3.39344e-05    	5.6332320e-04
3.44215e-05    	5.5554254e-04
3.49076e-05    	5.4651054e-04
3.53922e-05    	5.3611465e-04
3.58746e-05    	5.2428536e-04
3.63544e-05    	5.1099508e-04
3.68325e-05    	4.9624464e-04
3.73099e-05    	4.8003004e-04
3.77878e-05    	4.6232177e-04
3.82684e-05    	4.4307296e-04
3.8753e-05     	4.2224408e-04
3.9241e-05     	3.9989038e-04
3.97269e-05    	3.7636797e-04
4.02107e-05    	3.5185477e-04
4.0693e-05     	3.2652151e-04
4.11743e-05    	3.0057532e-04
4.16553e-05    	2.7420224e-04
4.2136e-05     	2.4760384e-04
4.26165e-05    	2.2098384e-04
4.3097e-05     	1.9455802e-04
4.35777e-05    	1.6849258e-04
4.40589e-05    	1.4298470e-04
4.45408e-05    	1.1814020e-04
4.50233e-05    	9.4055432e-05
4.5506e-05     	7.0713836e-05
4.59884e-05    	4.7989309e-05
4.64704e-05    	2.4570387e-05
4.6952e-05     	1.9434451e-06
