# Region type : patch wOutlet
# Faces  :     940
# Area   :     7.7273522e-05
# Time         	average(U)	average(p)	average(T)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.0000000e+05	2.9300000e+02
5.62517e-07    	(-1.8525626e-02 6.8013792e+00 1.9249183e-02)	1.0383495e+05	2.9574117e+02
1.00486e-06    	(-1.8372483e-02 5.9488184e+00 1.3548301e-02)	1.0360078e+05	2.9490189e+02
1.44172e-06    	(-2.6441852e-02 4.2339643e+00 1.1028676e-02)	1.0292511e+05	2.9425176e+02
1.87835e-06    	(-3.8376207e-02 2.8902118e+00 5.0364165e-03)	1.0234356e+05	2.9385356e+02
2.31864e-06    	(-4.7937563e-02 2.0436144e+00 -4.2018958e-03)	1.0195159e+05	2.9365070e+02
2.77704e-06    	(-4.8642801e-02 1.5776494e+00 -9.5199042e-03)	1.0173789e+05	2.9357616e+02
3.26432e-06    	(-3.7333725e-02 1.3862435e+00 -9.2895506e-03)	1.0166147e+05	2.9359012e+02
3.76282e-06    	(-2.5646180e-02 1.3363257e+00 2.8145279e-03)	1.0165229e+05	2.9362752e+02
4.26106e-06    	(-1.7946090e-02 1.3042594e+00 2.1269421e-02)	1.0164234e+05	2.9362802e+02
4.76173e-06    	(-1.5981946e-02 1.2668536e+00 4.3210798e-02)	1.0161836e+05	2.9361099e+02
5.26405e-06    	(-2.2012993e-02 1.2540147e+00 6.2296542e-02)	1.0159956e+05	2.9361266e+02
5.76286e-06    	(-3.5230233e-02 1.2909546e+00 7.7033048e-02)	1.0160483e+05	2.9364411e+02
6.26046e-06    	(-5.1608479e-02 1.3770320e+00 8.6100681e-02)	1.0163844e+05	2.9369946e+02
6.76084e-06    	(-6.6558528e-02 1.4888210e+00 9.0407395e-02)	1.0169030e+05	2.9377129e+02
7.26547e-06    	(-7.9593058e-02 1.6029342e+00 9.4825450e-02)	1.0174824e+05	2.9384732e+02
7.76906e-06    	(-9.0864687e-02 1.7061461e+00 1.0254342e-01)	1.0180485e+05	2.9391745e+02
8.26759e-06    	(-1.0070256e-01 1.7932468e+00 1.1307753e-01)	1.0185709e+05	2.9398132e+02
8.76244e-06    	(-1.0743201e-01 1.8660128e+00 1.2485149e-01)	1.0190547e+05	2.9404459e+02
9.25495e-06    	(-1.0984305e-01 1.9277268e+00 1.3680562e-01)	1.0195121e+05	2.9410201e+02
9.74585e-06    	(-1.0946966e-01 1.9804917e+00 1.4726788e-01)	1.0199525e+05	2.9416049e+02
1.02355e-05    	(-1.0932248e-01 2.0272424e+00 1.5498533e-01)	1.0203872e+05	2.9421461e+02
1.07232e-05    	(-1.1068923e-01 2.0700531e+00 1.5952594e-01)	1.0208180e+05	2.9426811e+02
1.12085e-05    	(-1.1282815e-01 2.1081167e+00 1.6108158e-01)	1.0212341e+05	2.9431784e+02
1.16911e-05    	(-1.1520490e-01 2.1399165e+00 1.6007256e-01)	1.0216245e+05	2.9436385e+02
1.21704e-05    	(-1.1764314e-01 2.1651893e+00 1.5725471e-01)	1.0219858e+05	2.9440673e+02
1.26454e-05    	(-1.2040433e-01 2.1850140e+00 1.5360757e-01)	1.0223195e+05	2.9444705e+02
