# Region type : patch wOutlet
# Faces  :     2574
# Area   :     7.7677716e-05
# Time         	sum(phi)
0              	0.0000000e+00
4.01965e-07    	3.7700525e-08
7.27512e-07    	5.2170742e-08
1.05663e-06    	4.9384746e-08
1.38681e-06    	4.3035832e-08
1.71576e-06    	3.8253698e-08
2.04805e-06    	3.4328963e-08
2.37928e-06    	2.9773677e-08
2.71099e-06    	7.2745000e-08
3.04407e-06    	2.1892245e-07
3.37601e-06    	2.9529855e-07
3.70902e-06    	3.6478816e-07
4.04262e-06    	7.9948081e-07
4.375e-06      	2.2871150e-06
4.70918e-06    	4.6639992e-06
5.0423e-06     	7.1585540e-06
5.37532e-06    	9.1379110e-06
5.70948e-06    	1.0285910e-05
6.04158e-06    	1.0442856e-05
6.37547e-06    	9.6546855e-06
6.7081e-06     	8.1497389e-06
7.04004e-06    	6.2287782e-06
7.37319e-06    	4.5649435e-06
7.70365e-06    	3.7997158e-06
8.03561e-06    	3.9994039e-06
8.36612e-06    	5.1367957e-06
8.69569e-06    	6.7315727e-06
9.02641e-06    	8.2290798e-06
9.35429e-06    	8.9845491e-06
9.68346e-06    	8.5716430e-06
1.00115e-05    	7.1358212e-06
1.03379e-05    	5.2697561e-06
1.06658e-05    	3.6288136e-06
1.0991e-05     	2.9564217e-06
1.13169e-05    	3.2533978e-06
1.16423e-05    	4.1312809e-06
1.19661e-05    	5.0945265e-06
1.22911e-05    	5.7186019e-06
1.26142e-05    	5.6844901e-06
1.29377e-05    	5.0508328e-06
1.32608e-05    	4.1635459e-06
1.3583e-05     	3.4666993e-06
1.3906e-05     	3.2578918e-06
1.42279e-05    	3.5454302e-06
1.45503e-05    	4.1871925e-06
1.48722e-05    	4.9121554e-06
1.5194e-05     	5.4710464e-06
1.55155e-05    	5.6104949e-06
1.58368e-05    	5.3654855e-06
1.61578e-05    	4.9828349e-06
1.64787e-05    	4.7493258e-06
1.67993e-05    	4.8520505e-06
1.71197e-05    	5.2463385e-06
1.74399e-05    	5.7514305e-06
1.77599e-05    	6.2117881e-06
1.80798e-05    	6.4744052e-06
1.83994e-05    	6.5324998e-06
1.87189e-05    	6.4581863e-06
1.90381e-05    	6.4277933e-06
1.93572e-05    	6.5321280e-06
1.9676e-05     	6.7845594e-06
1.99946e-05    	7.1519664e-06
2.0313e-05     	7.5541028e-06
2.06311e-05    	7.8425582e-06
2.09489e-05    	7.9403142e-06
2.12665e-05    	7.9167909e-06
2.15838e-05    	7.9157037e-06
2.19008e-05    	7.9995666e-06
2.22176e-05    	8.2226401e-06
