# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.1000000e+05	2.9400000e+02	1.3004948e+00
5.1074e-07     	(1.8137703e+01 -1.5103992e-02 -1.5569778e+01)	1.0958165e+05	2.9367824e+02	1.2969673e+00
9.44866e-07    	(1.9483317e+01 1.3531843e-02 -1.6630153e+01)	1.0954785e+05	2.9365095e+02	1.2966885e+00
1.37899e-06    	(1.9237089e+01 3.0483097e-03 -1.6436954e+01)	1.0956091e+05	2.9365946e+02	1.2968055e+00
1.81312e-06    	(1.8752754e+01 -3.2567821e-03 -1.6027857e+01)	1.0958592e+05	2.9367713e+02	1.2970235e+00
2.24725e-06    	(1.8113861e+01 -9.8467766e-03 -1.5491942e+01)	1.0961649e+05	2.9369904e+02	1.2972885e+00
2.68137e-06    	(1.7516028e+01 -1.3254151e-02 -1.4983404e+01)	1.0964318e+05	2.9371798e+02	1.2975207e+00
3.1155e-06     	(1.7133014e+01 -1.5154287e-02 -1.4646247e+01)	1.0966105e+05	2.9373017e+02	1.2976783e+00
3.54962e-06    	(1.6984178e+01 -1.4346235e-02 -1.4522185e+01)	1.0966884e+05	2.9373464e+02	1.2977508e+00
3.98375e-06    	(1.6942832e+01 -1.3883105e-02 -1.4481535e+01)	1.0967249e+05	2.9373594e+02	1.2977882e+00
4.41788e-06    	(1.6949934e+01 -1.5162300e-02 -1.4484730e+01)	1.0967405e+05	2.9373565e+02	1.2978080e+00
4.852e-06      	(1.6950751e+01 -1.5861141e-02 -1.4478595e+01)	1.0967603e+05	2.9373567e+02	1.2978314e+00
5.28613e-06    	(1.6936347e+01 -1.6438634e-02 -1.4461907e+01)	1.0967859e+05	2.9373614e+02	1.2978596e+00
5.72026e-06    	(1.6926200e+01 -1.6941319e-02 -1.4451058e+01)	1.0968093e+05	2.9373644e+02	1.2978859e+00
6.15438e-06    	(1.6935234e+01 -1.7455771e-02 -1.4459484e+01)	1.0968246e+05	2.9373612e+02	1.2979054e+00
6.58851e-06    	(1.6977140e+01 -1.7262210e-02 -1.4497766e+01)	1.0968271e+05	2.9373482e+02	1.2979141e+00
7.02264e-06    	(1.7071686e+01 -1.6383011e-02 -1.4580263e+01)	1.0968091e+05	2.9373196e+02	1.2979055e+00
7.45676e-06    	(1.7233443e+01 -1.5494756e-02 -1.4719347e+01)	1.0967637e+05	2.9372699e+02	1.2978737e+00
7.89089e-06    	(1.7466340e+01 -1.4529982e-02 -1.4916822e+01)	1.0966875e+05	2.9371967e+02	1.2978159e+00
8.32502e-06    	(1.7759187e+01 -1.3924789e-02 -1.5164913e+01)	1.0965831e+05	2.9371019e+02	1.2977342e+00
8.75914e-06    	(1.8091481e+01 -1.3633408e-02 -1.5447819e+01)	1.0964575e+05	2.9369909e+02	1.2976346e+00
9.19327e-06    	(1.8448032e+01 -1.3516976e-02 -1.5753538e+01)	1.0963165e+05	2.9368681e+02	1.2975220e+00
9.62739e-06    	(1.8820220e+01 -1.3389459e-02 -1.6074188e+01)	1.0961641e+05	2.9367364e+02	1.2973997e+00
1.00615e-05    	(1.9204290e+01 -1.3356209e-02 -1.6405635e+01)	1.0960020e+05	2.9365975e+02	1.2972693e+00
1.04956e-05    	(1.9597524e+01 -1.3428887e-02 -1.6744001e+01)	1.0958320e+05	2.9364523e+02	1.2971320e+00
1.09298e-05    	(1.9996540e+01 -1.3586940e-02 -1.7085941e+01)	1.0956556e+05	2.9363024e+02	1.2969895e+00
1.13639e-05    	(2.0396665e+01 -1.3797384e-02 -1.7427649e+01)	1.0954754e+05	2.9361494e+02	1.2968437e+00
